,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
40,no tears left to cry,Sweetener,Ariana Grande,2018-08-17,205920,80,0.699,0.04,0.699,0.713,3.11e-06,0.294,-5.507,0.0594,121.993,4
41,borderline (feat. Missy Elliott),Sweetener,Ariana Grande,2018-08-17,177533,59,0.761,0.058,0.761,0.818,0.0,0.11,-5.238,0.0978,110.99,4
42,better off,Sweetener,Ariana Grande,2018-08-17,171333,67,0.597,0.216,0.597,0.524,0.0,0.112,-7.247,0.0537,92.568,4
43,goodnight n go,Sweetener,Ariana Grande,2018-08-17,189506,72,0.708,0.0217,0.708,0.454,0.0,0.073,-7.07,0.0395,110.963,4
44,pete davidson,Sweetener,Ariana Grande,2018-08-17,73813,63,0.652,0.43,0.652,0.31,1.16e-05,0.182,-10.212,0.0509,119.913,4
45,get well soon,Sweetener,Ariana Grande,2018-08-17,322026,64,0.604,0.657,0.604,0.449,0.0,0.0932,-6.564,0.0353,100.355,4
46,Moonlight,Dangerous Woman,Ariana Grande,2016-05-20,202360,58,0.633,0.42,0.633,0.412,3.57e-06,0.048,-7.339,0.0284,102.215,3
47,Dangerous Woman,Dangerous Woman,Ariana Grande,2016-05-20,235946,64,0.664,0.0529,0.664,0.602,0.0,0.356,-5.369,0.0412,134.049,3
48,Be Alright,Dangerous Woman,Ariana Grande,2016-05-20,179293,64,0.813,0.169,0.813,0.456,2.86e-06,0.105,-7.667,0.0684,108.801,4
49,Into You,Dangerous Woman,Ariana Grande,2016-05-20,244440,65,0.623,0.0162,0.623,0.734,1.75e-06,0.145,-5.948,0.107,107.853,4
50,Side To Side,Dangerous Woman,Ariana Grande,2016-05-20,226173,64,0.644,0.0198,0.644,0.723,0.0,0.228,-6.278,0.231,159.17,4
51,Let Me Love You,Dangerous Woman,Ariana Grande,2016-05-20,223880,60,0.527,0.0295,0.527,0.435,0.0,0.243,-8.363,0.129,102.698,3
52,Greedy,Dangerous Woman,Ariana Grande,2016-05-20,214880,58,0.59,0.0367,0.59,0.704,0.0,0.0984,-5.303,0.114,109.826,4
53,Leave Me Lonely,Dangerous Woman,Ariana Grande,2016-05-20,229680,58,0.445,0.599,0.445,0.446,2.21e-05,0.339,-7.468,0.0312,90.927,3
54,Everyday,Dangerous Woman,Ariana Grande,2016-05-20,194840,59,0.637,0.0149,0.637,0.733,0.0,0.162,-4.413,0.0563,131.004,4
55,Sometimes,Dangerous Woman,Ariana Grande,2016-05-20,226666,56,0.397,0.0907,0.397,0.666,0.0,0.344,-5.383,0.248,77.915,4
56,I Don't Care,Dangerous Woman,Ariana Grande,2016-05-20,178026,53,0.591,0.728,0.591,0.403,1.37e-06,0.153,-8.284,0.0431,111.934,4
57,Bad Decisions,Dangerous Woman,Ariana Grande,2016-05-20,226426,56,0.698,0.0146,0.698,0.645,0.0,0.269,-5.368,0.0416,131.948,4
58,Touch It,Dangerous Woman,Ariana Grande,2016-05-20,260000,60,0.536,0.0303,0.536,0.694,0.0,0.183,-4.369,0.0332,100.906,4
59,Knew Better / Forever Boy,Dangerous Woman,Ariana Grande,2016-05-20,299213,58,0.484,0.235,0.484,0.381,3.6e-06,0.0998,-6.705,0.0711,106.65,4
60,Thinking Bout You,Dangerous Woman,Ariana Grande,2016-05-20,200386,54,0.507,0.0152,0.507,0.696,0.000821,0.121,-6.027,0.0621,102.983,4
61,Step On Up,Dangerous Woman,Ariana Grande,2016-05-20,180853,62,0.662,0.0874,0.662,0.877,0.0,0.273,-4.185,0.112,110.905,4
62,Jason's Song (Gave It Away),Dangerous Woman,Ariana Grande,2016-05-20,264640,50,0.65,0.45,0.65,0.655,3.13e-05,0.073,-4.307,0.0631,105.95,4
63,Intro,My Everything (Deluxe),Ariana Grande,2014-08-25,79840,52,0.447,0.969,0.447,0.182,3.83e-05,0.327,-12.439,0.0324,89.814,4
64,Problem,My Everything (Deluxe),Ariana Grande,2014-08-25,193920,75,0.66,0.0192,0.66,0.805,8.83e-06,0.159,-5.352,0.153,103.008,4
65,One Last Time,My Everything (Deluxe),Ariana Grande,2014-08-25,197266,80,0.628,0.093,0.628,0.593,1.65e-06,0.096,-5.036,0.0323,125.026,4
66,Why Try,My Everything (Deluxe),Ariana Grande,2014-08-25,211880,62,0.443,0.0494,0.443,0.663,0.0,0.153,-5.946,0.0432,159.856,4
67,Break Free,My Everything (Deluxe),Ariana Grande,2014-08-25,214840,76,0.687,0.0064,0.687,0.702,4.35e-05,0.204,-5.324,0.0455,129.956,4
68,Best Mistake,My Everything (Deluxe),Ariana Grande,2014-08-25,233733,65,0.654,0.546,0.654,0.578,0.0,0.112,-6.897,0.449,143.867,4
69,Be My Baby,My Everything (Deluxe),Ariana Grande,2014-08-25,217053,59,0.622,0.0735,0.622,0.586,7.41e-06,0.0803,-6.241,0.0356,145.08,4
70,Break Your Heart Right Back,My Everything (Deluxe),Ariana Grande,2014-08-25,253386,58,0.726,0.0113,0.726,0.605,0.0,0.0639,-5.673,0.0628,93.93,4
71,Love Me Harder,My Everything (Deluxe),Ariana Grande,2014-08-25,236133,77,0.472,0.00937,0.472,0.714,0.0,0.0764,-4.389,0.0334,98.992,4
72,Just A Little Bit Of Your Heart,My Everything (Deluxe),Ariana Grande,2014-08-25,232586,66,0.439,0.692,0.439,0.322,0.0,0.103,-5.959,0.028,77.963,4
73,Hands On Me,My Everything (Deluxe),Ariana Grande,2014-08-25,192226,54,0.662,0.214,0.662,0.766,0.0,0.324,-5.694,0.0377,97.959,4
74,My Everything,My Everything (Deluxe),Ariana Grande,2014-08-25,168520,68,0.54,0.88,0.54,0.265,0.0,0.131,-5.307,0.0297,61.975,4
75,Bang Bang,My Everything (Deluxe),Ariana Grande,2014-08-25,199320,63,0.703,0.283,0.703,0.747,0.0,0.396,-4.446,0.0895,149.974,4
76,Only 1,My Everything (Deluxe),Ariana Grande,2014-08-25,193986,57,0.656,0.5,0.656,0.842,0.0,0.0787,-5.714,0.24,101.364,4
77,You Don't Know Me,My Everything (Deluxe),Ariana Grande,2014-08-25,233720,54,0.381,0.0453,0.381,0.631,0.0,0.129,-5.886,0.262,170.187,4
78,Honeymoon Avenue,Yours Truly,Ariana Grande,2013-01-01,339733,61,0.692,0.218,0.692,0.608,0.0,0.348,-5.233,0.041,125.005,4
79,Baby I,Yours Truly,Ariana Grande,2013-01-01,197600,69,0.724,0.0152,0.724,0.796,0.0,0.354,-3.686,0.0328,101.975,4
80,Right There,Yours Truly,Ariana Grande,2013-01-01,247080,57,0.621,0.127,0.621,0.834,0.0,0.0854,-3.166,0.105,156.099,4
81,Tattooed Heart,Yours Truly,Ariana Grande,2013-01-01,194706,61,0.535,0.414,0.535,0.519,0.0,0.142,-4.161,0.0273,72.06,4
82,Lovin' It,Yours Truly,Ariana Grande,2013-01-01,180693,50,0.624,0.115,0.624,0.825,0.0,0.276,-3.841,0.0422,93.996,4
83,Piano,Yours Truly,Ariana Grande,2013-01-01,234426,59,0.738,0.164,0.738,0.804,0.0,0.826,-4.286,0.0815,120.017,4
84,Daydreamin',Yours Truly,Ariana Grande,2013-01-01,211293,56,0.675,0.234,0.675,0.648,0.0,0.561,-6.003,0.0317,114.051,3
85,The Way,Yours Truly,Ariana Grande,2013-01-01,227026,69,0.645,0.294,0.645,0.878,0.0,0.076,-3.208,0.113,82.324,4
86,You’ll Never Know,Yours Truly,Ariana Grande,2013-01-01,214280,52,0.764,0.0546,0.764,0.842,0.0,0.0351,-3.835,0.059,105.015,4
87,Almost Is Never Enough,Yours Truly,Ariana Grande,2013-01-01,327773,73,0.324,0.825,0.324,0.327,0.0,0.101,-7.494,0.0409,81.328,4
88,Popular Song,Yours Truly,Ariana Grande,2013-01-01,200213,59,0.666,0.152,0.666,0.81,0.0,0.0613,-4.574,0.0458,99.023,4
89,Better Left Unsaid,Yours Truly,Ariana Grande,2013-01-01,211226,48,0.594,0.0397,0.594,0.83,0.000145,0.104,-4.024,0.0328,129.998,4
